iter	Passed	Remaining
527	37596	33609
528	37671	33541
529	37744	33471
530	37811	33396
531	37884	33326
532	37965	33264
533	38056	33210
534	38122	33134
535	38213	33080
536	38290	33013
537	38363	32944
538	38441	32878
539	38513	32807
540	38583	32735
541	38660	32668
542	38734	32599
543	38799	32522
544	38864	32446
545	38945	32382
546	39007	32304
547	39076	32231
548	39143	32155
549	39207	32078
550	39279	32008
551	39342	31929
552	39415	31860
553	39483	31786
554	39554	31714
555	39622	31640
556	39691	31567
557	39757	31492
558	39825	31418
559	39893	31344
560	39960	31270
561	40042	31207
562	40109	31132
563	40173	31056
564	40239	30981
565	40315	30913
566	40393	30847
567	40472	30781
568	40548	30714
569	40629	30650
570	40701	30579
571	40795	30525
572	40871	30457
573	40946	30389
574	41013	30314
575	41077	30237
576	41146	30164
577	41215	30091
578	41290	30022
579	41375	29961
580	41446	29889
581	41526	29825
582	41599	29754
583	41670	29683
584	41752	29619
585	41825	29548
586	41903	29482
587	41982	29416
588	42042	29336
589	42115	29266
590	42184	29193
591	42253	29120
592	42332	29054
593	42415	28991
594	42487	28920
595	42561	28850
596	42641	28784
597	42729	28724
598	42791	28646
599	42877	28584
600	42962	28522
601	43027	28446
602	43093	28371
603	43161	28297
604	43232	28226
605	43292	28147
606	43359	28072
607	43424	27997
608	43508	27934
609	43602	27877
610	43679	27809
611	43759	27743
612	43835	27674
613	43905	27601
614	43980	27532
615	44053	27462
616	44125	27390
617	44194	27317
618	44282	27256
619	44359	27187
620	44452	27129
621	44519	27055
622	44589	26982
623	44654	26907
624	44723	26833
625	44787	26758
626	44862	26688
627	44932	26616
628	44996	26539
629	45056	26461
630	45122	26386
631	45201	26319
632	45281	26253
633	45343	26176
634	45415	26104
635	45486	26033
636	45568	25967
637	45649	25901
638	45764	25854
639	45894	25815
640	46011	25769
641	46126	25721
642	46203	25652
643	46291	25589
644	46364	25518
645	46443	25450
646	46535	25389
647	46629	25329
648	46707	25260
649	46799	25199
650	46881	25133
651	46967	25068
652	47044	24999
653	47122	24930
654	47210	24866
655	47290	24798
656	47355	24722
657	47437	24655
658	47513	24585
659	47592	24517
660	47676	24451
661	47747	24378
662	47831	24312
663	47906	24241
664	48055	24208
665	48250	24197
666	48352	24139
667	48452	24081
668	48573	24032
669	48680	23976
670	48765	23910
671	48844	23840
672	48927	23773
673	49021	23710
674	49098	23640
675	49184	23573
676	49273	23508
677	49333	23429
678	49403	23355
679	49464	23277
680	49534	23203
681	49604	23129
682	49673	23054
683	49717	22968
684	49777	22890
685	49842	22814
686	49906	22737
687	49966	22659
688	50029	22582
689	50119	22517
690	50198	22447
691	50270	22374
692	50346	22303
693	50407	22225
694	50469	22148
695	50527	22069
696	50599	21996
697	50668	21922
698	50740	21849
699	50807	21774
700	50881	21702
701	50944	21625
702	50997	21545
703	51059	21468
704	51129	21394
705	51193	21318
706	51258	21243
707	51326	21168
708	51374	21086
709	51445	21012
710	51491	20929
711	51563	20857
712	51627	20781
713	51704	20710
714	51773	20637
715	51858	20569
716	51920	20492
717	51987	20418
718	52053	20343
719	52114	20266
720	52182	20192
721	52241	20115
722	52305	20039
723	52375	19966
724	52434	19889
725	52501	19814
726	52570	19741
727	52640	19667
728	52708	19593
729	52782	19522
730	52855	19450
731	52909	19371
732	52982	19299
733	53053	19226
734	53116	19150
735	53182	19076
736	53255	19004
737	53327	18931
738	53395	18858
739	53466	18785
740	53536	18712
741	53608	18640
742	53695	18572
743	53756	18496
744	53821	18422
745	53890	18348
746	53965	18277
747	54038	18205
748	54106	18131
749	54174	18058
750	54238	17983
751	54308	17910
752	54372	17835
753	54438	17761
754	54504	17687
755	54569	17612
756	54626	17535
757	54690	17460
758	54756	17386
759	54816	17310
760	54882	17236
761	54942	17160
762	55007	17086
763	55068	17010
764	55131	16935
765	55198	16862
766	55265	16788
767	55335	16715
768	55414	16646
769	55480	16572
770	55551	16499
771	55622	16427
772	55693	16354
773	55762	16282
774	55831	16209
775	55901	16136
776	55965	16062
777	56036	15989
778	56104	15916
779	56184	15847
780	56256	15774
781	56321	15700
782	56394	15629
783	56454	15553
784	56525	15481
785	56606	15411
786	56678	15339
787	56746	15266
788	56819	15195
789	56883	15121
790	56946	15046
791	57016	14974
792	57078	14899
793	57152	14827
794	57267	14767
795	57377	14704
796	57466	14636
797	57573	14573
798	57658	14504
799	57742	14435
800	57820	14365
801	57907	14296
802	57987	14225
803	58113	14166
804	58189	14095
805	58280	14027
806	58386	13963
807	58473	13894
808	58546	13822
809	58623	13751
810	58690	13677
811	58760	13604
812	58817	13528
813	58884	13455
814	58974	13386
815	59053	13315
816	59130	13244
817	59208	13173
818	59289	13103
819	59406	13040
820	59493	12971
821	59616	12909
822	59717	12843
823	59845	12782
824	59999	12727
825	60119	12664
826	60249	12603
827	60382	12543
828	60504	12480
829	60670	12426
830	60805	12365
831	60946	12306
832	61056	12240
833	61175	12176
834	61303	12113
835	61422	12049
836	61508	11978
837	61624	11913
838	61740	11847
839	61913	11793
840	62016	11724
841	62116	11656
842	62212	11586
843	62312	11517
844	62408	11447
845	62511	11379
846	62619	11311
847	62737	11245
848	62830	11174
849	62924	11104
850	63004	11031
851	63090	10959
852	63180	10888
853	63262	10815
854	63337	10741
855	63432	10670
856	63505	10596
857	63572	10521
858	63656	10448
859	63750	10377
860	63826	10304
861	63909	10231
862	63972	10155
863	64059	10083
864	64130	10008
865	64206	9934
866	64275	9860
867	64366	9788
868	64444	9714
869	64517	9640
870	64597	9567
871	64666	9492
872	64730	9416
873	64792	9340
874	64854	9264
875	64917	9189
876	64997	9115
877	65061	9040
878	65141	8967
879	65209	8892
880	65267	8815
881	65338	8741
882	65399	8665
883	65464	8590
884	65533	8515
885	65603	8441
886	65676	8366
887	65755	8293
888	65847	8221
889	65941	8150
890	66015	8076
891	66098	8002
892	66170	7928
893	66248	7854
894	66330	7781
895	66396	7706
896	66464	7631
897	66541	7558
898	66636	7486
899	66716	7412
900	66777	7337
901	66848	7262
902	66918	7188
903	66996	7114
904	67064	7039
905	67139	6965
906	67223	6892
907	67268	6815
908	67345	6741
909	67413	6667
910	67492	6593
911	67561	6519
912	67630	6444
913	67700	6370
914	67737	6292
915	67793	6216
916	67863	6142
917	67947	6069
918	68015	5994
919	68093	5921
920	68167	5847
921	68237	5772
922	68275	5695
923	68348	5621
924	68424	5547
925	68491	5473
926	68563	5399
927	68632	5324
928	68729	5252
929	68798	5178
930	68855	5103
931	68934	5029
932	69084	4961
933	69262	4894
934	69347	4820
935	69424	4746
936	69487	4672
937	69559	4597
938	69623	4522
939	69693	4448
940	69779	4375
941	69859	4301
942	69928	4226
943	69998	4152
944	70075	4078
945	70142	4003
946	70219	3929
947	70292	3855
948	70364	3781
949	70437	3707
950	70510	3633
951	70592	3559
952	70656	3484
953	70717	3409
954	70791	3335
955	70859	3261
956	70929	3186
957	70990	3112
958	71058	3037
959	71133	2963
960	71205	2889
961	71277	2815
962	71312	2739
963	71379	2665
964	71440	2591
965	71528	2517
966	71601	2443
967	71641	2368
968	71708	2294
969	71771	2219
970	71838	2145
971	71909	2071
972	71976	1997
973	72042	1923
974	72077	1848
975	72147	1774
976	72191	1699
977	72256	1625
978	72315	1551
979	72390	1477
980	72461	1403
981	72528	1329
982	72603	1255
983	72670	1181
984	72760	1108
985	72835	1034
986	72920	960
987	72987	886
988	73049	812
989	73116	738
990	73183	664
991	73262	590
992	73349	517
993	73423	443
994	73498	369
995	73591	295
996	73652	221
997	73721	147
998	73788	73
999	73881	0
